Rank,State or union territory,Population,Population (%),Decadal growth(2001–2011),Rural population,Percent rural,Urban population,Percent urban,Area(km2),Area(sq mi),Density(/km2),Denisty(/sq mi),Sex ratio
1,Uttar Pradesh,"199,812,341",16.51,20.2,"155,317,278",77.73,"44,495,063",22.27,"240,928 "," 93,023  ",828," 2,140 ",912
2,Maharashtra,"112,374,333",9.28,20,"61,556,074",54.78,"50,818,259",45.22,"307,713 "," 118,809  ",365, 950 ,929
3,Bihar,"104,099,452",8.6,25.4,"92,341,436",88.71,"11,758,016",11.29,"94,163 "," 36,357  ","1,102"," 2,850 ",918
4,West Bengal,"91,276,115",7.54,13.8,"62,183,113",68.13,"29,093,002",31.87,"88,752 "," 34,267  ","1,029"," 2,670 ",953
5,Madhya Pradesh,"72,626,809",6,16.3,"52,557,404",72.37,"20,069,405",27.63,"308,245 "," 119,014  ",236, 610 ,931
6,Tamil Nadu,"72,147,030",5.96,15.6,"37,229,590",51.6,"34,917,440",48.4,"130,058 "," 50,216  ",555," 1,440 ",996
7,Rajasthan,"68,548,437",5.66,21.3,"51,500,352",75.13,"17,048,085",24.87,"342,239 "," 132,139  ",201, 520 ,928
8,Karnataka,"61,095,297",5.05,15.6,"37,469,335",61.33,"23,625,962",38.67,"191,791 "," 74,051  ",319, 830 ,973
9,Gujarat,"60,439,692",4.99,19.3,"34,694,609",57.4,"25,745,083",42.6,"196,024 "," 75,685  ",308, 800 ,919
10,Andhra Pradesh,"49,577,103",4.1,11,"34,966,693",70.53,"14,610,410",29.47,"162,968 "," 62,922  ",303, 780 ,993
11,Odisha,"41,974,219",3.47,14,"34,970,562",83.31,"7,003,656",16.69,"155,707 "," 60,119  ",269, 700 ,979
12,Telangana,"35,003,674",2.89,13.58,"21,395,009",61.12,"13,608,665",38.88,"112,077 "," 43,273  ",312, 810 ,988
13,Kerala,"33,406,061",2.76,4.9,"17,471,135",52.3,"15,934,926",47.7,"38,863 "," 15,005  ",859," 2,220 ","1,084"
14,Jharkhand,"32,988,134",2.73,22.4,"25,055,073",75.95,"7,933,061",24.05,"79,714 "," 30,778  ",414," 1,070 ",948
15,Assam,"31,205,576",2.58,17.1,"26,807,034",85.9,"4,398,542",14.1,"78,438 "," 30,285  ",397," 1,030 ",954
16,Punjab,"27,743,338",2.29,13.9,"17,344,192",62.52,"10,399,146",37.48,"50,362 "," 19,445  ",550," 1,400 ",895
17,Chhattisgarh,"25,545,198",2.11,22.6,"19,607,961",76.76,"5,937,237",23.24,"135,191 "," 52,198  ",189, 490 ,991
18,Haryana,"25,351,462",2.09,19.9,"16,509,359",65.12,"8,842,103",34.88,"44,212 "," 17,070  ",573," 1,480 ",879
UT1,Delhi,"16,787,941",1.39,21.2,"419,042",2.5,"16,368,899",97.5,"1,484 ", 573  ,"11,297"," 29,260 ",868
UT2,Jammu and Kashmir,"12,267,032",1.01,23.6,"9,064,220",73.89,"3,202,812",26.11,"42,241 "," 16,309  ",297, 770 ,890
19,Uttarakhand,"10,086,292",0.83,18.8,"7,036,954",69.77,"3,049,338",30.23,"53,483 "," 20,650  ",189, 490 ,963
20,Himachal Pradesh,"6,864,602",0.57,12.9,"6,176,050",89.97,"688,552",10.03,"55,673 "," 21,495  ",123, 320 ,972
21,Tripura,"3,673,917",0.3,14.8,"2,712,464",73.83,"961,453",26.17,"10,486 "," 4,049  ",350, 910 ,960
22,Meghalaya,"2,966,889",0.25,27.9,"2,371,439",79.93,"595,450",20.07,"22,429 "," 8,660  ",132, 340 ,989
23,Manipur,"2,570,390",0.21,18.6,"1,793,875",69.79,"776,515",30.21,"22,327 "," 8,621  ",122, 320 ,992
24,Nagaland,"1,978,502",0.16,-0.6,"1,407,536",71.14,"570,966",28.86,"16,579 "," 6,401  ",119, 310 ,931
25,Goa,"1,458,545",0.12,8.2,"551,731",37.83,"906,814",62.17,"3,702 "," 1,429  ",394," 1,020 ",973
26,Arunachal Pradesh,"1,383,727",0.11,26,"1,066,358",77.06,"317,369",22.94,"83,743 "," 32,333  ",17, 44 ,938
UT3,Puducherry,"1,247,953",0.1,28.1,"395,200",31.67,"852,753",68.33,479 , 185  ,"2,598"," 6,730 ","1,037"
27,Mizoram,"1,097,206",0.09,23.5,"525,435",47.89,"571,771",52.11,"21,081 "," 8,139  ",52, 130 ,976
UT4,Chandigarh,"1,055,450",0.09,17.2,"28,991",2.75,"1,026,459",97.25,114 , 44  ,"9,252"," 23,960 ",818
28,Sikkim,"610,577",0.05,12.9,"456,999",74.85,"153,578",25.15,"7,096 "," 2,740  ",86, 220 ,890
UT5,Dadra and Nagar Haveli and Daman and Diu,"585,764",0.05,55.1,"243,510",41.57,"342,254",58.43,603 , 233  ,970," 2,500 ",711
UT6,Andaman and Nicobar Islands,"380,581",0.03,6.9,"237,093",62.3,"143,488",37.7,"8,249 "," 3,185  ",46, 120 ,876
UT7,Ladakh,"274,000",0.02,17.8,"43,840",16,"230,160",84,"96,701 "," 37,336  ",2.8, 7.3 ,853
UT8,Lakshadweep,"64,473",0.01,6.3,"14,141",21.93,"50,332",78.07,32 , 12  ,"2,013"," 5,210 ",946
